name,cuda_time_ms,cpu_time_ms,cuda_pct,calls,input_shapes
decode_step,39.1679556,0.0,58.98452275848641,5,
decode_step,26.585499800000154,293.32175299999994,40.036121211259875,5,
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float>)",0.14750449813664532,0.0,0.22213266671799614,805,
aten::linear,0.11030304888888852,54.60131299999986,0.16610958110657897,1125,
aten::mm,0.11030304888888852,39.71406400000004,0.16610958110657897,1125,
aten::matmul,0.10982124070796426,48.23850100000048,0.16538400773473436,1130,
Runtime Triggered Module Loading,0.03230499999999301,19.46977100000001,0.04864933536925505,2,
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,0.021653666666662803,16.003770999999993,0.0326090850221565,6,
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, false, true, true, false, 6, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half const>, cublasGemvTensorStridedBatched<__half>, float>)",0.01631574687500038,0.0,0.024570507398914726,320,
Lazy Function Loading,0.01196837499999492,0.20769500000002153,0.018023633778049428,8,
aten::_scaled_dot_product_flash_attention,0.008380274999999802,17.051718999999967,0.012620176720682942,160,
aten::_flash_attention_forward,0.008380274999999802,14.886094000000085,0.012620176720682942,160,
aten::scaled_dot_product_attention,0.008380274999999802,18.10207200000013,0.012620176720682942,160,
"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, false, false, false, false, true, false, true, false>(pytorch_flash::Flash_fwd_params)",0.005206231249999382,0.0,0.007840262810437105,160,
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 3, 128, 1, 16, 8>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0.00318473437499988,0.0,0.004796013331416113,320,
